accommodation_id,name,type,address,district,city,grade,rooms,latitude,longitude,telephone,email,website,source,source_file,name_key,all_source_files
ACC000001,135 VILLA,Home Stay Units,"NO.135, HEERESSAGALA ROAD,KANDY",Kandy,Kandy,STANDARD,2,,,,,,official_tourism,Information for Accommodation.csv,135 villa,Home Stay Units.xlsx | Information for Accommodation.csv
ACC000002,15 L M D,Bangalows,"NO 87, LADY MANNING DRIVE , BATTICALOA",Batticaloa,Batticaloa,STANDARD,4,,,,,,official_tourism,Information for Accommodation.csv,15 l m d,Bungalows.xlsx | Information for Accommodation.csv
ACC000003,1ST CHOICE,Bangalows,"9/1, FIRST LANE, RATMALANA, MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,STANDARD,5,6.819636,,,,,official_tourism,Information for Accommodation.csv,1st choice,Bungalows.xlsx | Information for Accommodation.csv
ACC000004,218 HOLIDAY RESORT,Bangalows,218-KETAWALA-LEWLA(VIA KANDY),Kandy,Kandy,STANDARD,3,7.258813,,,,,official_tourism,Information for Accommodation.csv,218 holiday resort,Bungalows.xlsx | Information for Accommodation.csv
ACC000005,25 RAMPART STREET,Bangalows,"NO.25, RAMPART STRET, FORT, GALLE.",Galle,Galle,DELUXE,4,,,,,,official_tourism,Information for Accommodation.csv,25 rampart street,Bungalows.xlsx | Information for Accommodation.csv
ACC000006,"34/1/1, SUMANARAMA",Home Stay Units,"34/1/1, SUMANARAMA ROAD, MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,STANDARD,5,6.840153,,,,,official_tourism,Information for Accommodation.csv,34 1 1 sumanarama,Home Stay Units.xlsx | Information for Accommodation.csv
ACC000007,42 LIGHT HOUSE STREET,Bangalows,"42, LIGHTHOUSE STREET, GALLE",Galle,Galle,DELUXE,4,6.027748,,,,,official_tourism,Information for Accommodation.csv,42 light house street,Bungalows.xlsx | Information for Accommodation.csv
ACC000008,51 BUNGALOW,Bangalows,"51,QUINTIN FERNANDO MAWATHA,NEGOMBO",Gampaha,,DELUXE,2,,,,,,official_tourism,Information for Accommodation.csv,51 bungalow,Bungalows.xlsx | Information for Accommodation.csv
ACC000009,5TH LANE HOUSE,Bangalows,"51/1A, FIFTH LANE COLOMBO 3.",Colombo,Colombo,DELUXE,4,6.904586,,,,,official_tourism,Information for Accommodation.csv,5th lane house,Bungalows.xlsx | Information for Accommodation.csv
ACC000010,7TH HILL,Home Stay Units,"KIRIMETIYA GEDARA,KITHAL-ELLA,ELLA",Badulla,Ella Pradeshiya Sabha,STANDARD,3,6.868833,,,,,official_tourism,Information for Accommodation.csv,7th hill,Home Stay Units.xlsx | Information for Accommodation.csv
ACC000011,9 A,Home Stay Units,"9A, UPPER DICKSON ROAD, GALLE",Galle,Galle,SUPERIOR,1,,,,,,official_tourism,Information for Accommodation.csv,9 a,Home Stay Units.xlsx | Information for Accommodation.csv
ACC000012,98 ACRES RESORT,Tourist Hotels,"UVA GREENLANDS ESTATE,NAMUNUKULA ROAD,ELLA",Badulla,Ella Pradeshiya Sabha,,28,6.8712053,,,,,official_tourism,Information for Accommodation.csv,98 acres resort,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC000013,A-PRIMA TOURIST HOTEL,Guest Houses,"173,ST SEBESTIAN ROAD,KATUKURUNDA-KALUTARA",Kalutara,Kalutara Pradeshiya Sabha,A,8,6.563892,,,,,official_tourism,Information for Accommodation.csv,a prima tourist hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC000014,A WAYFARERS INN,Home Stay Units,"77, ROSMEAD PLACE, COLOMBO 07",Colombo,Colombo,SUPERIOR,4,,,,,,official_tourism,Information for Accommodation.csv,a wayfarers inn,Home Stay Units.xlsx | Information for Accommodation.csv
ACC000015,A9 SPOT,Guest Houses,"158,A9 ROAD,THONDAMAN NAGAR, KILINOCHCHI.",Kilinochchi,Karachchi,A,8,9.360176,,,,,official_tourism,Information for Accommodation.csv,a9 spot,Guest Houses.xlsx | Information for Accommodation.csv
ACC000016,AANA,Guest Houses,"225 A9 RD KANAGARAYANKULAM ,VAVUNIA",Vavuniya,Vavuniya,B,10,,,,,,official_tourism,Information for Accommodation.csv,aana,Guest Houses.xlsx | Information for Accommodation.csv
ACC000017,AARA RESIDENCES,Bangalows,"9/4, DE SERAM ROAD, MOUNT LAVINIA",Colombo,Colombo,SUPERIOR,4,,,,,,official_tourism,Information for Accommodation.csv,aara residences,Bungalows.xlsx | Information for Accommodation.csv
ACC000018,AARYA HOTEL,Guest Houses,"KOLONGALLA ESTATE,RANDENIYA,HIRIWADUNNA",Kegalle,Kegalle,A,7,7.272594,,,,,official_tourism,Information for Accommodation.csv,aarya hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC000019,"AARYA LAGOON ,KALPITIYA",Guest Houses,"KALPITIYA ROAD,MAMPURI",Puttalam,Kalpitiya Pradeshiya Sabha,A,5,7.995629,,,,,official_tourism,Information for Accommodation.csv,aarya lagoon kalpitiya,Guest Houses.xlsx | Information for Accommodation.csv
ACC000020,ABERDEEN RANGE HOLIDAY HOME,Bangalows,"RANJIRAWA, GINIGATHHENA",Nuwara Eliya,Nuwara Eliya,SUPERIOR,3,6.996841,,,,,official_tourism,Information for Accommodation.csv,aberdeen range holiday home,Bungalows.xlsx | Information for Accommodation.csv
ACC000021,ABEYS VILLA,Bangalows,"140, GALLE ROAD,PINWATTE,PANADURA",Kalutara,Panadura Pradeshiya Sabha,DELUXE,5,6.686462,,,,,official_tourism,Information for Accommodation.csv,abeys villa,Bungalows.xlsx | Information for Accommodation.csv
ACC000022,ACME GUEST HOUSE,Guest Houses,"NO.90,POLONNARUWA ROAD,HABARANA",Polonnaruwa,Polonnaruwa,B,5,,,,,,official_tourism,Information for Accommodation.csv,acme guest house,Guest Houses.xlsx | Information for Accommodation.csv
