activity_id,name,category,address,district,city,latitude,longitude,telephone,email,website,source,source_file,name_key
ACT000001,AZMARA SPA - CINNAMON LAKESIDE,spa_wellness,"NO.115, 01 FLOOR, SIR CHITHAMPALAM A. GARDNIER MAWATHA, COLOMBO 02",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmara spa cinnamon lakeside
ACT000002,AZMARA SPA - BENTOTA BEACH HOTEL,spa_wellness,"BENTOTA BEACH HOTEL, BENTOTA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmara spa bentota beach hotel
ACT000003,AZMAARA SPA - CINNAMON LODGE,spa_wellness,"P.O BOX, 02, HABARANA",Polonnaruwa,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmaara spa cinnamon lodge
ACT000004,SPA CEYLON AYURVEDA - COLOMBO 02,spa_wellness,"48D, PARK STREET, COLOMBO 02",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda colombo 02
ACT000005,ANGSANA SPA,spa_wellness,"NO.75 B, GALLE ROAD, COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,angsana spa
ACT000006,COCO SPA - HERITANCE TEA FACTORY,spa_wellness,"KANDAPOLA, NUWARAELIYA",Nuwara Eliya,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa heritance tea factory
ACT000007,COCO SPA - HERITANCE AHUNGALLE,spa_wellness,"HERITANCE AHUNGALLE, AHUNGALLE",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa heritance ahungalle
ACT000008,DIVIYAN SPA - EARL'S REGENCY,spa_wellness,"EARL'S REGENCY, KANDY",Kandy,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,diviyan spa earl s regency
ACT000009,COCO SPA - MT. LAVINIA HOTEL,spa_wellness,"100, HOTEL ROAD, MT. LAVINIA",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa mt lavinia hotel
ACT000010,COCO SPA - CLUB BENTOTA,spa_wellness,"CLUB BENTOTA, ALUTHGAMA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa club bentota
ACT000011,COCO SPA - ULAGALLA WALAWWA,spa_wellness,"THIRAPPANE, ANURADHAPURA",Anuradhapura,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa ulagalla walawwa
ACT000012,SPA CEYLON AYURUVEDA,spa_wellness,"SHOP NO. 11, DUTCH HOSPITAL BUILDING,BANK OF CEYLON MW, COLOMBO 01.",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayuruveda
ACT000013,AZMAARA SPA-CINNAMON BAY,spa_wellness,CINNAMON BEY BERUWELA,Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmaara spa cinnamon bay
ACT000014,SPA CEYLON AYURVEDA - HIKKADUWA,spa_wellness,"NO.400, GALLE ROAD, HIKKADUWA",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda hikkaduwa
ACT000015,JAL HEALTH AND BEAUTY SPA INVESTMENT (PVT) LTD,spa_wellness,"NO.2, REGENCY, GALLE FACE HOTEL, COLOMBO-03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,jal health and beauty spa investment pvt ltd
ACT000016,WHITE BY SPA CEYLON,spa_wellness,"NO 14,WARD PLACE,COLOMBO 07",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,white by spa ceylon
ACT000017,AZMAARA SPA-CHAAYA TRANZ,spa_wellness,HIKKADUWA,Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmaara spa chaaya tranz
ACT000018,COLOMBO COURTYARD(AMBER SPA),spa_wellness,"32,ALFRED HOUSE AVE,COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,colombo courtyard amber spa
ACT000019,COCO SPA-THURYAA RESORT,spa_wellness,"WASKADUWA,KALUTARA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa thuryaa resort
ACT000020,ANANTAYA COCO SPA,spa_wellness,"BANGADENIYA,CHILAW",Puttalam,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,anantaya coco spa
ACT000021,ARIYAANA,spa_wellness,"WATERS EDGE LIMITED,316,ETHUL KOTTE ROAD,BATTARAMULLA",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,ariyaana
ACT000022,ARIYANNA SPA-THE BLUE WATER,spa_wellness,"THALPITIYA,WADDUWA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,ariyanna spa the blue water
ACT000023,SPA CEYLON AYURVEDA - GALLE FORT,spa_wellness,"NO.54/A,LIGHT HOUSE STREET,GALLE FORT.",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda galle fort
ACT000024,BAAN THAI,spa_wellness,"NO.490,HAVELOCK ROAD,COLOMBO-05",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,baan thai
ACT000025,JIVA SPA - VIVANTA BY TAJ BENTOTA,spa_wellness,"VIVANTA BY TAJ,NATIONAL HOLIDAY RESORTS,BENTOTA.",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,jiva spa vivanta by taj bentota
ACT000026,AYU SPA,spa_wellness,"NO.40/1,DEWANA RAJASINGHE MAWATHA,PERADENIYA,KANDY.",Kandy,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,ayu spa
ACT000027,SENSES SPA.,spa_wellness,"NO 48,JANADHIPATHI MAWATHA,COLOMBO 01.",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,senses spa
ACT000028,NIROGI SPA,spa_wellness,"THE SURF HOTEL,BENTOTA",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,nirogi spa
ACT000029,COCO SPA-GRAND KANDYAN,spa_wellness,"NO:89/10,LADY GORDOW DRIVE,KANDY",Kandy,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa grand kandyan
ACT000030,H.E.R.HOLISTIC CENTER AND SPA,spa_wellness,"NO.640/62,COLOMBO ROAD,KURANA,NEGOMBO",Gampaha,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,h e r holistic center and spa
ACT000031,SPA CENVAREE,spa_wellness,"CENTARA CEYSANDS RESORT AND SPA,BENTOTA",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa cenvaree
ACT000032,INFINITY SPA,spa_wellness,"GOLDI SANDS,ETHUKALA,NEGOMBO.",Gampaha,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,infinity spa
ACT000033,COCOSPA (PVT) LTD - CITRUS ( WASKADUWA ),spa_wellness,"NO.427. SAMANTHARA ROAD, WASKADUWA, KALUTHRA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,cocospa pvt ltd citrus waskaduwa
ACT000034,SPA CEYLON AYURVEDA,spa_wellness,"NO:103/7,GALLE ROAD,COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda
ACT000035,AZMAARA SPA - CINNAMON WILD - YALA,spa_wellness,"P.O.BOX 01, YALA, KIRINDA, TISSAMAHARAMA",Hambantota,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmaara spa cinnamon wild yala
ACT000036,AZMAARA SPA-CHAAYA BLU,spa_wellness,"CHAAYA BLU,TRINCOMALEE,SAMPATIVE ROAD,UPPUVELI,TRINCOMALEE.",Trincomalee,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,azmaara spa chaaya blu
ACT000037,SEA VIEW SPA,spa_wellness,"NO 31/5-3/1, SEA AVENUE, MARINE DRIVE, COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,sea view spa
ACT000038,RENOVA SPA,spa_wellness,"RIU 150, GALLE ROAD, AHUNGALLA",Galle,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,renova spa
ACT000039,COCO SPA-ANANTAYA PASSIKUDAH,spa_wellness,"COCONUT BOARD ROAD,KALKUDAH,PASSIKUDAH",Batticaloa,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,coco spa anantaya passikudah
ACT000040,ANANTARA SPA-TANGALLE,spa_wellness,"GOYAMBOKKA ESTATE, TANGALLE.",Hambantota,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,anantara spa tangalle
ACT000041,SPA CEYLON AYURVEDA-MAHAWELI REACH,spa_wellness,"MAHAWELI REACH HOTEL, NO. 35, P.B.A. WEERAKOON MAWATHA, KANDY",Kandy,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda mahaweli reach
ACT000042,SPA CEYLON -HERITANCE NEGOMBO,spa_wellness,"175, LEWIS PLACE, NEGOMBO",Gampaha,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon heritance negombo
ACT000043,ANANTARA SPA-KALUTHARA,spa_wellness,"ST.SEBASTIANS'S ROAD, KATUKURUNDA, KALUTHARA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,anantara spa kaluthara
ACT000044,ARIYANNA SPA - WATER GARDEN,spa_wellness,"INDIGASWEWA,SIGIRIYA.",Matale,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,ariyanna spa water garden
ACT000045,INFINITY SPA,spa_wellness,"CLUB WASKADUWA, 211, PANADURA ROAD, WASKADUWA",Kalutara,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,infinity spa
ACT000046,NIROGI SPA,spa_wellness,THE SAFARI HOTEL TISSAMAHARAMA,Hambantota,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,nirogi spa
ACT000047,ZEN ISLAND,spa_wellness,"67, MIRIHANA ROAD, NUGEGODA",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,zen island
ACT000048,"SPA CEYLON AYURVEDA,MOVENPICK HOTEL",spa_wellness,"NO24, DARMAPALA MAWATHA,COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,spa ceylon ayurveda movenpick hotel
ACT000049,JULIANA SPA,spa_wellness,"316, GALLE ROAD, COLOMBO 03",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,juliana spa
ACT000050,CEYLON HOLISTIC CENTRE,spa_wellness,"NO:220, THIMBIRIGASYAYA ROAD, COLOMBO 05",Colombo,,,,,,,official_tourism,Spa & Wellness Centers.xlsx,ceylon holistic centre
