restaurant_id,name,address,district,city,grade,cuisine,latitude,longitude,telephone,email,website,source,source_file,name_key
RES000001,BAVARIAN BARN RESTAURANT,"NO. 11, GALLE FACE COURT 02 COLOMBO",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,bavarian barn restaurant
RES000002,LORDS RESTAURANT,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,lords restaurant
RES000003,NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,nihonbashi restaurant
RES000004,FREE WIND RESTAURANT & BAR,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",Trincomalee,,A,,,,,,,official_tourism,Restaurants.xlsx,free wind restaurant bar
RES000005,EDWIN RESTAURANT,"204, LEWIS PLACE, NEGOMBO",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,edwin restaurant
RES000006,DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,dakshina restaurant
RES000007,KUMU KUMA CHINESE RESTAURANT,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,kumu kuma chinese restaurant
RES000008,HANSAGIRI RESTAURANT,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,hansagiri restaurant
RES000009,JAYALATH INN RESTAURANT,"269, WELIGAMPITIYA JA-ELA",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,jayalath inn restaurant
RES000010,GREAT WALL RESTAURANTS,"N0.03, EDWARD LANE COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,great wall restaurants
RES000011,EXCEL RESTAURANTS,"338, T.B. JAYAH MAWATHA, COLOMBO 10",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,excel restaurants
RES000012,PUBS AND PLACES- KANDY,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",Kandy,,A,,,,,,,official_tourism,Restaurants.xlsx,pubs and places kandy
RES000013,KANDOORI RESTAURANT (BERUWALA),"428, GALLE ROAD, HETTIMULLA BERUWALA",Kalutara,,A,,,,,,,official_tourism,Restaurants.xlsx,kandoori restaurant beruwala
RES000014,SENANI RESTAURANT,"NO 30,RAJAPIHILLA MAWATHA, KANDY",Kandy,,A,,,,,,,official_tourism,Restaurants.xlsx,senani restaurant
RES000015,JANAHITHA RESTAURANT,"107/1 MAKOLA SOUTH, MAKOLA",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,janahitha restaurant
RES000016,FLAG & WHISTLE RESTAURANT & PUB,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,flag whistle restaurant pub
RES000017,CHANVAL RESTAURANT (MAHARAGAMA),"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,chanval restaurant maharagama
RES000018,PUBS AND PLACES - YATINUWARA,"60/1,YATINUWARA WEEDIYA,KANDY",Kandy,,B,,,,,,,official_tourism,Restaurants.xlsx,pubs and places yatinuwara
RES000019,ISHARA RESTAURANT,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,ishara restaurant
RES000020,SAYURA RESTAURANT,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA",Matale,,A,,,,,,,official_tourism,Restaurants.xlsx,sayura restaurant
RES000021,RANWELI RESTAURANT,"NO.99, KAUDPELELLA, MATALE",Matale,,A,,,,,,,official_tourism,Restaurants.xlsx,ranweli restaurant
RES000022,SILVER RAY RESTAURANT,"NO 18,DIPPITIGALA, LELLOPITIYA",Ratnapura,,A,,,,,,,official_tourism,Restaurants.xlsx,silver ray restaurant
RES000023,RAJA BOJUN,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,raja bojun
RES000024,MINTAGE RESTAURANT & BAR,"NO154, KINYSEY ROAD, COLOMBO07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,mintage restaurant bar
RES000025,ELEPHANT PARK RESTAURANT,"PINNAWALA, RAMBUKKANA",Kegalle,,A,,,,,,,official_tourism,Restaurants.xlsx,elephant park restaurant
RES000026,PUBS AND PLACES (BENTOTA),"NO.357,GALLE ROAD,WARAHENA BENTOTA",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,pubs and places bentota
