location_name,location_name_key
Abhayagiri Dagaba,abhayagiri dagaba
Baker's Falls,baker s falls
Bluefield Tea Gardens,bluefield tea gardens
Brief Garden - Bevis Bawa,brief garden bevis bawa
Dagoba of Thuparama,dagoba of thuparama
Damro Labookellie Tea Centre and Tea Garden,damro labookellie tea centre and tea garden
Hakgala Botanic Gardens,hakgala botanic gardens
Halpewatte Tea Factory Tour,halpewatte tea factory tour
Hikkaduwa Beach,hikkaduwa beach
Horton Plains National Park,horton plains national park
Jethawanaramaya Stupa,jethawanaramaya stupa
Kalametiya Eco Bird Watching,kalametiya eco bird watching
Kalutara Beach,kalutara beach
Marble Beach,marble beach
Minneriya Tusker Safaris,minneriya tusker safaris
Mirissa Beach,mirissa beach
Mount Lavinia Beach,mount lavinia beach
Nallur Kovil,nallur kovil
Negombo Beach,negombo beach
Nilaveli Beach,nilaveli beach
Passikudah Beach,passikudah beach
Pedro Tea Factory,pedro tea factory
Ritigala Forest Monastery,ritigala forest monastery
Ruwanwelisaya,ruwanwelisaya
Samadhi Statue,samadhi statue
Sinharaja Forest Reserve,sinharaja forest reserve
Tissa Wewa,tissa wewa
Twin Baths (Kuttam Pokuna),twin baths kuttam pokuna
Udawalawe National Park,udawalawe national park
Udawattekele Sanctuary,udawattekele sanctuary
