place_id,name,category,subcategory,district,city,latitude,longitude,avg_rating,review_count,review_popularity,quality_score,nature_score,adventure_score,history_score,photography_score,food_score,relaxation_score,family_score,shopping_score,weather_sensitive,environment,map_ready,feature_text
PLC0000001,1 more night hostel,accommodation,hostel,Matale,,7.9476672,80.7602647,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,1 more night hostel accommodation hostel
PLC0000002,10 10 KRUA THAI,food,,Colombo,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,unknown,False,10 10 KRUA THAI food 
PLC0000003,10 th mile post,attraction,viewpoint,Badulla,,6.8010956,81.0447497,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,10 th mile post attraction viewpoint
PLC0000004,1000 from foreigner,shopping,ticket,Kalutara,,6.5992526,79.9772628,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,1000 from foreigner shopping ticket
PLC0000005,101 Restaurant,food,restaurant,Matara,,5.9416469,80.4666495,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,101 Restaurant food restaurant
PLC0000006,101 Salon & Academy (Pvt) Ltd,shopping,beauty,Gampaha,,6.9839492,79.9266907,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,101 Salon & Academy (Pvt) Ltd shopping beauty
PLC0000007,11 to Eleven Pizza,food,restaurant,Jaffna,,9.6841039,80.025249,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,11 to Eleven Pizza food restaurant
PLC0000008,"1200 for national museum, 700 for natural history, 1500 combined (before 2pm)",shopping,ticket,Colombo,,6.9096016,79.8601301,,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.7,1.0,False,indoor,True,"1200 for national museum, 700 for natural history, 1500 combined (before 2pm) shopping ticket"
PLC0000009,123,accommodation,apartment,Jaffna,,9.67926545,80.18277354377366,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,123 accommodation apartment
PLC0000010,"132 Building,Girls' Hostel",accommodation,hostel,Badulla,,6.816836650000001,80.96023713158633,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,"132 Building,Girls' Hostel accommodation hostel"
PLC0000011,135 VILLA,accommodation,Home Stay Units,Kandy,Kandy,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,135 VILLA accommodation Home Stay Units
PLC0000012,149-3,attraction,bridge,Polonnaruwa,,8.29720165,80.94479512486356,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,unknown,True,149-3 attraction bridge
PLC0000013,15 L M D,accommodation,Bangalows,Batticaloa,Batticaloa,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,15 L M D accommodation Bangalows
PLC0000014,168 Seafood Palace,food,restaurant,Colombo,Colombo 03,6.9089987,79.8509336,,0,0.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,False,indoor,True,168 Seafood Palace food restaurant
PLC0000015,169 RESTURANT,food,,Matale,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,unknown,False,169 RESTURANT food 
PLC0000016,180-3?,attraction,bridge,Vavuniya,,8.78083515,80.48469167790921,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,unknown,True,180-3? attraction bridge
PLC0000017,1923 Old House Hostel,accommodation,hostel,Kandy,,7.2793783,80.623328,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,1923 Old House Hostel accommodation hostel
PLC0000018,1979 Family Restaurant,food,restaurant,Colombo,,6.8350481,79.9049838,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,False,indoor,True,1979 Family Restaurant food restaurant
PLC0000019,1More Night Hostel,accommodation,hostel,Matale,,7.946178,80.7607828,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,1More Night Hostel accommodation hostel
PLC0000020,1ST CHOICE,accommodation,Bangalows,Colombo,Dehiwala-Mount Lavinia,6.819636,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,1ST CHOICE accommodation Bangalows
PLC0000021,2-m gap,attraction,information,Trincomalee,,8.6830516,81.1841193,,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,False,unknown,True,2-m gap attraction information
PLC0000022,"20, Sisilasa Press",shopping,bookmaker,Kandy,,7.2651113,80.6654404,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"20, Sisilasa Press shopping bookmaker"
PLC0000023,"200 for foreigners, 50 for locals",shopping,ticket,Nuwara Eliya,,7.0548451,80.7008067,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"200 for foreigners, 50 for locals shopping ticket"
PLC0000024,"2000 for foreigners, up to 1000 for locals (February 2025)",shopping,ticket,Kurunegala,,7.8154314,80.3121321,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"2000 for foreigners, up to 1000 for locals (February 2025) shopping ticket"
PLC0000025,215 Market,shopping,supermarket,Colombo,,6.9383673,79.8515752,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,215 Market shopping supermarket
PLC0000026,218 HOLIDAY RESORT,accommodation,Bangalows,Kandy,Kandy,7.258813,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,False,unknown,False,218 HOLIDAY RESORT accommodation Bangalows
