place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0000001,1 more night hostel,1 more night hostel,accommodation,hostel,Matale,,Central,7.9476672,80.7602647,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000002,10 10 KRUA THAI,10 10 krua thai,food,,Colombo,,,,,,official_tourism,Restaurants.xlsx,official_tourism,Restaurants.xlsx
PLC0000003,10 th mile post,10 th mile post,attraction,viewpoint,Badulla,,Uva,6.8010956,81.0447497,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000004,1000 from foreigner,1000 from foreigner,shopping,ticket,Kalutara,,Western,6.5992526,79.9772628,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000005,101 Restaurant,101 restaurant,food,restaurant,Matara,,Southern,5.9416469,80.4666495,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000006,101 Salon & Academy (Pvt) Ltd,101 salon academy pvt ltd,shopping,beauty,Gampaha,,Western,6.9839492,79.9266907,08:30-21:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000007,11 to Eleven Pizza,11 to eleven pizza,food,restaurant,Jaffna,,Northern,9.6841039,80.025249,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000008,"1200 for national museum, 700 for natural history, 1500 combined (before 2pm)",1200 for national museum 700 for natural history 1500 combined before 2pm,shopping,ticket,Colombo,,Western,6.9096016,79.8601301,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000009,123,123,accommodation,apartment,Jaffna,,Northern,9.679265449999999,80.18277354377366,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000010,"132 Building,Girls' Hostel",132 building girls hostel,accommodation,hostel,Badulla,,Uva,6.816836650000001,80.96023713158633,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000011,135 VILLA,135 villa,accommodation,Home Stay Units,Kandy,Kandy,,,,,official_tourism,Home Stay Units.xlsx | Information for Accommodation.csv,official_tourism,Home Stay Units.xlsx | Information for Accommodation.csv
PLC0000012,149-3,149 3,attraction,bridge,Polonnaruwa,,North Central,8.29720165,80.94479512486356,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000013,15 L M D,15 l m d,accommodation,Bangalows,Batticaloa,Batticaloa,,,,,official_tourism,Bungalows.xlsx | Information for Accommodation.csv,official_tourism,Bungalows.xlsx | Information for Accommodation.csv
PLC0000014,168 Seafood Palace,168 seafood palace,food,restaurant,Colombo,Colombo 03,Western,6.9089987,79.8509336,,openstreetmap,points_of_interest.geojson,official_tourism | openstreetmap,Restaurants.xlsx | points_of_interest.geojson
PLC0000015,169 RESTURANT,169 resturant,food,,Matale,,,,,,official_tourism,Restaurants.xlsx,official_tourism,Restaurants.xlsx
PLC0000016,180-3?,180 3,attraction,bridge,Vavuniya,,Northern,8.78083515,80.48469167790921,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000017,1923 Old House Hostel,1923 old house hostel,accommodation,hostel,Kandy,,Central,7.2793783,80.623328,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000018,1979 Family Restaurant,1979 family restaurant,food,restaurant,Colombo,,Western,6.8350481,79.9049838,Mon-Su 11:00-23:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000019,1More Night Hostel,1more night hostel,accommodation,hostel,Matale,,Central,7.946178,80.7607828,24/7,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000020,1ST CHOICE,1st choice,accommodation,Bangalows,Colombo,Dehiwala-Mount Lavinia,,6.819636,,,official_tourism,Bungalows.xlsx | Information for Accommodation.csv,official_tourism,Bungalows.xlsx | Information for Accommodation.csv
PLC0000021,2-m gap,2 m gap,attraction,information,Trincomalee,,Eastern,8.6830516,81.1841193,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000022,"20, Sisilasa Press",20 sisilasa press,shopping,bookmaker,Kandy,,Central,7.2651113,80.6654404,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000023,"200 for foreigners, 50 for locals",200 for foreigners 50 for locals,shopping,ticket,Nuwara Eliya,,Central,7.0548451,80.7008067,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000024,"2000 for foreigners, up to 1000 for locals (February 2025)",2000 for foreigners up to 1000 for locals february 2025,shopping,ticket,Kurunegala,,North Western,7.8154314,80.3121321,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000025,215 Market,215 market,shopping,supermarket,Colombo,,Western,6.9383673,79.8515752,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000026,218 HOLIDAY RESORT,218 holiday resort,accommodation,Bangalows,Kandy,Kandy,,7.258813,,,official_tourism,Bungalows.xlsx | Information for Accommodation.csv,official_tourism,Bungalows.xlsx | Information for Accommodation.csv
PLC0000027,23 Palm,23 palm,accommodation,hotel,Galle,Galle,Southern,5.9981731,80.2751898,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000028,24/7 SuperMarket & Pharmacy,24 7 supermarket pharmacy,shopping,convenience,Colombo,Colombo 13,Western,6.9511058,79.8603994,24/7,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000029,24 Seven,24 seven,shopping,convenience,Colombo,,Western,6.9145165,79.8699018,24/7,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000030,25 RAMPART STREET,25 rampart street,accommodation,Bangalows,Galle,Galle,,,,,official_tourism,Bungalows.xlsx | Information for Accommodation.csv,official_tourism,Bungalows.xlsx | Information for Accommodation.csv
PLC0000031,250 For Foreigners,250 for foreigners,shopping,ticket,Hambantota,,Southern,5.9774969,80.7379596,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000032,256 Townhouse Rest,256 townhouse rest,accommodation,hotel,Kandy,,Central,7.2994191,80.636831,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000033,27 OLD VILLAGE SPICE & HERBLE GARDEN.,27 old village spice herble garden,activity,spice_garden,Matale,,,,,,official_tourism,Spice Gardens.xlsx,official_tourism,Spice Gardens.xlsx
PLC0000034,283/2 Old Kottawa Road,283 2 old kottawa road,accommodation,apartment,Colombo,,Western,6.8688258,79.9089258,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000035,2nd Home,2nd home,accommodation,guest_house,Kalutara,Horana,Western,6.7230203,80.082718,24/7,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000036,3 arch resort,3 arch resort,accommodation,hotel,Badulla,,Uva,6.8840158,81.0481868,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000037,"300 for foreigners, free for locals",300 for foreigners free for locals,shopping,ticket,Matale,,Central,7.4973518,80.6219709,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000038,30he kade,30he kade,shopping,gift,Gampaha,,Western,7.0930159,79.992898,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000039,32 Celcius Nilaveli,32 celcius nilaveli,accommodation,hotel,Trincomalee,Trincomalee,Eastern,8.6791014,81.197132,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000040,335 Holiday Homes,335 holiday homes,accommodation,apartment,Kandy,Kandy,Central,7.2871848,80.6278698,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000041,34/1/1 Sumanarama,34 1 1 sumanarama,accommodation,guest_house,Colombo,Dehiwala-Mount Lavinia,Western,6.8401082,79.8691665,,openstreetmap,points_of_interest.geojson,official_tourism | openstreetmap,Home Stay Units.xlsx | Information for Accommodation.csv | points_of_interest.geojson
PLC0000042,3540LKR for foreigners (July 2025),3540lkr for foreigners july 2025,shopping,ticket,Kandy,,Central,7.2682679,80.5968195,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000043,35,35,attraction,museum,Badulla,,Uva,6.8166814,80.95938611389508,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000044,36 Srijina Mawatha,36 srijina mawatha,shopping,mall,Kalutara,,Western,6.7532216,79.9051121,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000045,360 Sands,360 sands,accommodation,hotel,Matara,,Southern,5.9633857,80.6883355,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000046,360 Solution,360 solution,shopping,electrical,Kurunegala,,North Western,7.9369507,80.3460727,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000047,360deg Ella,360deg ella,food,restaurant,Badulla,,Uva,6.8732713,81.0491533,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000048,360deg Madiha,360deg madiha,food,restaurant,Matara,,Southern,5.9366146,80.5169467,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000049,360deg Sunset Bar,360deg sunset bar,food,bar,Matara,,Southern,5.9363107,80.51674535946661,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000050,3de Movies,3de movies,shopping,video,Colombo,,Western,6.8763266,79.9356308,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000051,3R resraurant,3r resraurant,food,restaurant,Ampara,,Eastern,7.294230600000001,81.86623640407629,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000052,4 Bedroom Apartment,4 bedroom apartment,accommodation,hotel,Nuwara Eliya,Nuwara Eliya,Central,6.9821373,80.7601187,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0000053,4 Electrical,4 electrical,shopping,hardware,Anuradhapura,,North Central,8.3103414,80.402569,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
